Id,Label,degree,weighted degree,modularity_class,主体类型,领域方向,功能定位
学习强国,学习强国,1539,1745,1,其他,其他,
人民武警,人民武警,1555,1933,1,其他,其他,
清风云南,清风云南,1323,1456,1,政府机构,党建理论,
共青团中央,共青团中央,1551,1794,1,政府机构,党建理论,
思享前沿,思享前沿,1781,3167,2,其他,其他,
梧桐论语,梧桐论语,1337,1647,1,其他,其他,
北京长城网,北京长城网,1277,1459,1,媒体平台,地方政务,
马克思主义理论研究,马克思主义理论研究,1564,2242,1,高校/学术机构,学术研究,学术研究
思想理论教育导刊,思想理论教育导刊,1576,2229,1,媒体平台,党建理论,教育
马克思主义研究动态,马克思主义研究动态,1601,2439,1,高校/学术机构,学术研究,学术研究
陕西先锋,陕西先锋,1437,1737,1,其他,党建理论,
马克思主义研究网,马克思主义研究网,1518,2189,1,高校/学术机构,学术研究,学术研究
先锋成都,先锋成都,1119,1205,1,其他,党建理论,
人民陆军,人民陆军,1179,1262,1,其他,其他,
微观三农,微观三农,1490,1642,1,其他,其他,
昆仑策研究院,昆仑策研究院,1631,1990,1,高校/学术机构,学术研究,学术研究
清风北京,清风北京,1449,1656,1,政府机构,党建理论,
云南省社会科学院,云南省社会科学院,1444,1857,1,高校/学术机构,学术研究,学术研究
南粤清风,南粤清风,1297,1464,1,政府机构,党建理论,
红岩青松,红岩青松,1116,1197,1,其他,其他,
中国经济时报,中国经济时报,1627,1925,1,媒体平台,社会民生,
人大复印报刊资料,人大复印报刊资料,3003,9342,2,政府机构,社会民生,资源整合
四川党校报,四川党校报,1279,1509,1,媒体平台,社会民生,
思想云一无锡市委宣传部,思想云一无锡市委宣传部,1354,1521,1,政府机构,党建理论,
湘大毛研中心,湘大毛研中心,1293,1609,1,其他,其他,
马列微讲堂,马列微讲堂,1428,1805,1,自媒体/个人,其他,
北京人大,北京人大,1353,1585,1,政府机构,地方政务,
人民智库,人民智库,1586,1921,1,其他,学术研究,
西宁党建,西宁党建,1278,1586,1,其他,党建理论,
湖南武警,湖南武警,1150,1264,1,其他,地方政务,
中央政法委长安剑,中央政法委长安剑,1114,1245,1,政府机构,其他,
中国领导力,中国领导力,1339,1701,1,其他,其他,
安定党建,安定党建,925,982,1,其他,党建理论,
警苑心语,警苑心语,1150,1261,1,其他,其他,
中国政治经济学智库,中国政治经济学智库,1641,2656,2,其他,学术研究,
中国普法,中国普法,1295,1481,1,其他,其他,
学习中国,学习中国,1032,1078,1,其他,其他,
学习小组,学习小组,1141,1252,1,其他,其他,
瞭望,瞭望,1247,1483,1,其他,其他,
中国发展改革,中国发展改革,1265,1535,1,其他,其他,
中国军网,中国军网,1112,1199,1,媒体平台,其他,
高校思政研究,高校思政研究,1367,1871,1,高校/学术机构,学术研究,学术研究
南京日报,南京日报,1108,1394,1,媒体平台,社会民生,
杏花岭宣传微平台,杏花岭宣传微平台,973,1023,1,媒体平台,党建理论,资源整合
微言教育,微言教育,1190,1307,1,其他,基础教育,教育
旗帜微平台,旗帜微平台,990,1068,1,媒体平台,其他,资源整合
铜仁组工,铜仁组工,1120,1262,1,其他,地方政务,
武警后勤学院,武警后勤学院,1140,1395,1,高校/学术机构,学术研究,
河南宣讲,河南宣讲,933,1007,1,其他,地方政务,
最高人民法院,最高人民法院,1251,1349,1,政府机构,其他,
中国政府网,中国政府网,932,1033,1,政府机构,其他,
人民网,人民网,1071,1266,1,媒体平台,其他,
秘书工作,秘书工作,1221,1413,1,其他,其他,
新闻联播,新闻联播,1194,1313,1,媒体平台,社会民生,
当代中国研究,当代中国研究,946,1156,1,高校/学术机构,学术研究,学术研究
社会科学文摘,社会科学文摘,1785,3107,2,高校/学术机构,其他,学术研究
长安街读书会,长安街读书会,1260,1476,1,其他,其他,
实践融媒,实践融媒,1146,1482,1,其他,其他,
新时代新思想研究,新时代新思想研究,1001,1237,1,高校/学术机构,学术研究,学术研究
社会科学杂志,社会科学杂志,1079,1321,2,高校/学术机构,其他,学术研究
半月谈,半月谈,1298,1520,1,自媒体/个人,其他,
政事儿,政事儿,946,1028,1,其他,其他,
黑龙江宣传,黑龙江宣传,874,960,1,其他,党建理论,
学习有理,学习有理,927,1044,1,其他,其他,
北科马院,北科马院,1003,1073,1,其他,其他,
马言园地,马言园地,1029,1411,1,其他,其他,
国家民委,国家民委,1174,1356,1,政府机构,其他,
农业农村部党校管理干部学院,农业农村部党校管理干部学院,1097,1224,1,高校/学术机构,学术研究,
大家理论,大家理论,989,1085,1,其他,党建理论,
云南机关党建,云南机关党建,830,887,1,政府机构,党建理论,
人民出版社读书会,人民出版社读书会,918,971,1,自媒体/个人,其他,
铸剑江淮,铸剑江淮,786,826,1,其他,其他,
北京机关党建,北京机关党建,1008,1212,1,政府机构,党建理论,
中经理论,中经理论,953,1062,1,其他,党建理论,
群众杂志,群众杂志,1064,1157,1,媒体平台,其他,
青海文旅,青海文旅,914,1084,1,其他,文旅国资,
思想政治工作研究,思想政治工作研究,1021,1134,1,高校/学术机构,学术研究,学术研究
中国新闻社,中国新闻社,1066,1122,1,媒体平台,社会民生,
中国高等教育,中国高等教育,1354,1549,1,其他,基础教育,教育
啄木鸟,啄木鸟,866,989,1,其他,其他,
内蒙古自治区文化和旅游厅,内蒙古自治区文化和旅游厅,787,832,1,其他,传统文化,文化传播
思政学者,思政学者,1234,2001,1,其他,党建理论,
央视新闻,央视新闻,1170,1441,1,媒体平台,社会民生,
理论网,理论网,1097,1284,1,媒体平台,党建理论,
中国人文社会科学综合评价研究院,中国人文社会科学综合评价研究院,1991,3972,2,高校/学术机构,学术研究,学术研究
双鸭山微理论,双鸭山微理论,876,936,1,其他,党建理论,
普宁发布,普宁发布,837,902,1,政府机构,其他,
国家税务总局,国家税务总局,759,795,1,政府机构,社会民生,政务服务
人民铁道,人民铁道,1013,1140,1,其他,其他,
张掖市甘州区委党校,张掖市甘州区委党校,771,813,1,政府机构,地方政务,
青海党建,青海党建,949,1093,1,其他,党建理论,
国家发展改革委,国家发展改革委,1048,1154,1,政府机构,其他,
包头微学习,包头微学习,969,1017,1,其他,地方政务,
理论热点面对面官微,理论热点面对面官微,818,923,1,其他,党建理论,
思想教育研究,思想教育研究,1115,1745,1,高校/学术机构,学术研究,学术研究
理论中国,理论中国,1094,1305,1,其他,党建理论,
中国法学,中国法学,1208,1818,2,其他,学术研究,学术研究
桂林雁山发布,桂林雁山发布,864,1007,1,政府机构,地方政务,
管理世界杂志,管理世界杂志,1552,3856,2,媒体平台,其他,
科研写作研究所,科研写作研究所,1527,3156,2,高校/学术机构,学术研究,学术研究
魅力邵州,魅力邵州,981,1149,1,其他,其他,
学术月刊,学术月刊,1070,1481,2,高校/学术机构,学术研究,学术研究
自然资源部,自然资源部,731,787,1,其他,其他,资源整合
辽宁老干部大学,辽宁老干部大学,702,711,4,高校/学术机构,学术研究,
民族学与人类学Anthropology,民族学与人类学Anthropology,1242,1898,2,其他,学术研究,
前进杂志,前进杂志,971,1076,1,媒体平台,其他,
班玛县住房和城乡建设局,班玛县住房和城乡建设局,854,1077,1,政府机构,社会民生,政务服务
党建参阅,党建参阅,813,908,1,其他,党建理论,
微理大义,微理大义,851,902,1,其他,其他,
江苏先锋,江苏先锋,829,906,1,其他,党建理论,
健康新海南,健康新海南,835,1083,1,其他,社会民生,
青马先声,青马先声,1233,2002,2,其他,其他,
马克思主义与现实,马克思主义与现实,864,1059,1,其他,党建理论,
人民教育,人民教育,888,970,1,其他,基础教育,教育
新疆纪检监察,新疆纪检监察,907,993,1,政府机构,党建理论,
党史学习教育,党史学习教育,834,945,1,其他,党建理论,教育
民主与法制周刊,民主与法制周刊,1110,1391,1,媒体平台,社会民生,
灯塔党建在线,灯塔党建在线,806,987,1,其他,党建理论,
社会科学辑刊,社会科学辑刊,897,1120,2,高校/学术机构,学术研究,学术研究
在线学术论坛,在线学术论坛,1565,5538,2,高校/学术机构,学术研究,学术研究
中共安徽省委党校,中共安徽省委党校,851,948,1,政府机构,地方政务,
鹏城智库观察,鹏城智库观察,873,1004,1,其他,学术研究,
普宁教育,普宁教育,849,946,1,其他,基础教育,教育
青海老干部,青海老干部,841,1039,1,其他,党建理论,
中泰零距离,中泰零距离,801,830,3,其他,其他,
人力资源和社会保障部,人力资源和社会保障部,686,734,8,自媒体/个人,其他,资源整合
儒蓝星火马理论,儒蓝星火马理论,689,823,1,其他,党建理论,
内蒙古纪委监委,内蒙古纪委监委,804,932,1,政府机构,地方政务,
滁州理论在线,滁州理论在线,963,1062,1,其他,党建理论,
江苏党史,江苏党史,819,987,1,其他,党建理论,
社科期刊网,社科期刊网,1841,6469,2,高校/学术机构,学术研究,学术研究
中国人民银行,中国人民银行,760,829,1,其他,其他,
国家体育总局干部培训中心,国家体育总局干部培训中心,729,815,1,政府机构,党建理论,政务服务
河南武警,河南武警,738,843,1,其他,地方政务,
河南省第一强制隔离戒毒所,河南省第一强制隔离戒毒所,702,764,1,其他,地方政务,
党的文献,党的文献,1044,1240,1,其他,其他,
清马来了,清马来了,786,876,1,其他,其他,
内蒙古教育发布,内蒙古教育发布,838,872,4,政府机构,基础教育,教育
美丽九师,美丽九师,653,681,1,其他,其他,
中国社会科学院经济研究所,中国社会科学院经济研究所,1037,1648,2,高校/学术机构,学术研究,学术研究
山东社会科学,山东社会科学,946,1093,1,高校/学术机构,地方政务,学术研究
中国人民大学,中国人民大学,763,832,1,高校/学术机构,学术研究,
人文学学术资源在线,人文学学术资源在线,2060,10656,2,高校/学术机构,学术研究,学术研究
人民法院报,人民法院报,625,656,1,政府机构,社会民生,
爱知学者,爱知学者,941,1195,1,其他,其他,
武乡融媒,武乡融媒,680,801,1,其他,其他,
广州花都发布,广州花都发布,698,888,1,政府机构,地方政务,
学习军团,学习军团,903,1063,1,其他,其他,
与马有缘,与马有缘,892,1324,1,其他,其他,
宁德组工,宁德组工,655,704,1,其他,地方政务,
网事津评,网事津评,670,681,4,媒体平台,其他,
中共哈尔滨市委党校,中共哈尔滨市委党校,853,915,1,政府机构,地方政务,
中国三农发布,中国三农发布,717,778,8,政府机构,其他,
廉洁上海,廉洁上海,725,801,1,其他,地方政务,
香港中联办,香港中联办,662,740,1,政府机构,地方政务,政务服务
国防大学,国防大学,1038,1221,1,高校/学术机构,学术研究,
法廉研究,法廉研究,761,886,1,高校/学术机构,学术研究,学术研究
河北省纪委监委网站,河北省纪委监委网站,665,712,1,政府机构,地方政务,
经武门论道,经武门论道,820,1063,1,其他,其他,
廉洁沈阳,廉洁沈阳,654,774,7,其他,地方政务,
汉中农业农村,汉中农业农村,769,827,1,其他,地方政务,
近现代史研究资讯,近现代史研究资讯,1875,9279,2,高校/学术机构,学术研究,学术研究
组织人事报,组织人事报,787,830,1,媒体平台,党建理论,
中共安顺市委党校瀑乡微理论,中共安顺市委党校瀑乡微理论,640,753,1,政府机构,党建理论,
文明黄浦,文明黄浦,676,699,3,其他,文旅国资,
哈铁家园,哈铁家园,707,868,1,其他,其他,
现代国企研究,现代国企研究,1114,1241,1,高校/学术机构,学术研究,学术研究
人大教学与研究,人大教学与研究,691,800,1,政府机构,学术研究,学术研究
探索杂志,探索杂志,962,1507,1,媒体平台,其他,
哈密零距离,哈密零距离,694,743,1,其他,地方政务,
疏附组工,疏附组工,761,898,1,其他,其他,
天津石油职业技术学院,天津石油职业技术学院,730,746,1,高校/学术机构,学术研究,
HANMA,HANMA,624,667,1,其他,其他,
八桂先锋,八桂先锋,660,709,1,其他,党建理论,
历史学研究通讯,历史学研究通讯,1809,9670,2,高校/学术机构,学术研究,学术研究
思政金课高等教育会议中心,思政金课高等教育会议中心,666,720,1,其他,党建理论,教育
i深圳,i深圳,771,811,1,其他,地方政务,
党规研究,党规研究,875,1113,1,高校/学术机构,学术研究,学术研究
北疆先锋,北疆先锋,787,835,1,其他,党建理论,
上党课,上党课,728,806,1,其他,党建理论,
河南党刊,河南党刊,669,763,1,媒体平台,地方政务,
庄治面试不明白,庄治面试不明白,650,761,1,其他,其他,
华东师范大学马克思主义学院,华东师范大学马克思主义学院,779,900,1,高校/学术机构,学术研究,
金台新声,金台新声,604,701,1,其他,其他,
法研在线,法研在线,1625,7141,2,其他,其他,
兰州大学学报社会科学版,兰州大学学报社会科学版,674,875,1,高校/学术机构,学术研究,学术研究
江苏人社,江苏人社,700,744,8,政府机构,社会民生,
河北党史,河北党史,788,969,1,其他,党建理论,
生态环境部,生态环境部,618,676,1,其他,其他,
当代世界,当代世界,725,812,1,其他,其他,
党的历史,党的历史,756,953,1,其他,其他,
人民公安报,人民公安报,639,705,1,媒体平台,社会民生,
岭南学刊,岭南学刊,586,646,1,媒体平台,其他,
人民出版社,人民出版社,805,868,1,自媒体/个人,其他,
法治日报,法治日报,864,1064,1,媒体平台,社会民生,
马字号,马字号,659,717,1,其他,其他,
南天一剑,南天一剑,666,742,1,其他,其他,
法史漫谈,法史漫谈,1257,3179,2,自媒体/个人,其他,
国家哲学社会科学文献中心,国家哲学社会科学文献中心,1256,2846,2,高校/学术机构,学术研究,学术研究
思想理论教育,思想理论教育,1029,1561,1,其他,党建理论,教育
读读马原著2,读读马原著2,588,632,1,其他,其他,
南京工业大学学报社会科学版,南京工业大学学报社会科学版,636,854,1,高校/学术机构,学术研究,学术研究
新疆大学马克思主义学院,新疆大学马克思主义学院,582,606,1,高校/学术机构,学术研究,
宝坻教育,宝坻教育,632,659,1,其他,基础教育,教育
人大习研院,人大习研院,625,691,1,政府机构,其他,
决策与信息,决策与信息,708,824,1,其他,其他,
军事科学院,军事科学院,701,738,5,高校/学术机构,学术研究,
文化陕西,文化陕西,544,556,1,其他,传统文化,文化传播
长沙党建,长沙党建,567,627,1,其他,党建理论,
科研写作学院,科研写作学院,1548,4652,2,高校/学术机构,学术研究,
甘肃省司法厅,甘肃省司法厅,804,945,1,其他,地方政务,
北京市律师协会,北京市律师协会,545,571,1,其他,地方政务,
内蒙古自治区民族事务委员会,内蒙古自治区民族事务委员会,748,871,1,政府机构,地方政务,
治理评论,治理评论,780,1120,2,自媒体/个人,其他,
学术科研研究,学术科研研究,1436,5460,2,高校/学术机构,学术研究,学术研究
国家治理周刊,国家治理周刊,806,896,1,媒体平台,社会民生,
中国社会组织动态,中国社会组织动态,628,660,3,高校/学术机构,党建理论,
中华儿女,中华儿女,608,733,1,其他,其他,
清风平顶山,清风平顶山,660,689,1,政府机构,党建理论,
湖北民宗,湖北民宗,619,645,1,其他,地方政务,
张自强老师,张自强老师,530,658,1,其他,其他,
国资小新,国资小新,630,677,1,其他,文旅国资,
中共陕西省委党校陕西行政学院,中共陕西省委党校陕西行政学院,582,629,1,政府机构,学术研究,
红星云,红星云,547,572,1,其他,其他,
法学学术前沿,法学学术前沿,1913,7580,2,高校/学术机构,学术研究,学术研究
哲学中国,哲学中国,914,1455,2,其他,学术研究,学术研究
江西组工微讯,江西组工微讯,585,617,1,其他,地方政务,
明礼修身堂,明礼修身堂,526,526,4,自媒体/个人,其他,
湖北大学学报,湖北大学学报,849,1096,2,高校/学术机构,学术研究,学术研究
思小政,思小政,819,886,1,其他,其他,
兵团零距离,兵团零距离,692,815,1,其他,其他,
文艺报1949,文艺报1949,692,773,2,媒体平台,社会民生,
同心四川,同心四川,819,882,1,其他,地方政务,
内蒙古日报,内蒙古日报,765,811,8,媒体平台,社会民生,
中国党政干部论坛,中国党政干部论坛,701,815,1,其他,学术研究,
内蒙古自治区人民政府发布,内蒙古自治区人民政府发布,517,522,5,政府机构,地方政务,
挹江门微讯,挹江门微讯,572,601,1,其他,地方政务,
清风兵团,清风兵团,579,598,1,政府机构,党建理论,
广州交通,广州交通,515,538,1,其他,社会民生,
八一评论,八一评论,752,792,1,自媒体/个人,其他,
江西作家文坛,江西作家文坛,514,514,4,其他,地方政务,
理论视野,理论视野,620,757,1,其他,党建理论,
中共党史研究,中共党史研究,747,1148,1,高校/学术机构,学术研究,学术研究
云南发布,云南发布,705,749,1,政府机构,地方政务,
苏尼特右旗微发布,苏尼特右旗微发布,802,884,1,政府机构,其他,
北陆强军号,北陆强军号,757,934,1,其他,其他,
偃师法院,偃师法院,542,602,1,政府机构,其他,
政管学人,政管学人,1111,2922,2,高校/学术机构,其他,
甘肃统战,甘肃统战,687,719,1,其他,党建理论,
天津党建先锋,天津党建先锋,681,757,1,其他,党建理论,
河北共产党员,河北共产党员,510,540,1,其他,党建理论,
人大转载人文,人大转载人文,1567,6122,2,政府机构,学术研究,
高校融媒研究,高校融媒研究,545,647,1,高校/学术机构,学术研究,学术研究
廊坊大讲堂,廊坊大讲堂,587,703,1,自媒体/个人,地方政务,
法治阿拉善,法治阿拉善,587,658,1,其他,其他,
再建巴别塔,再建巴别塔,707,874,2,其他,其他,
学术与科研前瞻,学术与科研前瞻,1130,3497,2,高校/学术机构,学术研究,学术研究
中国孔子基金会,中国孔子基金会,639,741,1,其他,其他,
外文期刊局,外文期刊局,883,1376,2,政府机构,学术研究,政务服务
社会科学报社,社会科学报社,690,734,2,高校/学术机构,学术研究,学术研究
松岭先锋,松岭先锋,504,523,1,其他,党建理论,
海淀金融,海淀金融,495,500,1,其他,其他,
山东中医药大学附属医院,山东中医药大学附属医院,495,515,1,高校/学术机构,学术研究,
东台党建,东台党建,494,512,1,其他,党建理论,
区域经济,区域经济,1364,4181,2,其他,其他,
政经中国,政经中国,711,873,1,其他,其他,
高校马研,高校马研,583,629,1,其他,其他,
西北大学学报哲学社会科学版,西北大学学报哲学社会科学版,637,751,1,高校/学术机构,学术研究,学术研究
国家治理杂志,国家治理杂志,686,783,1,媒体平台,其他,
青海日报江源评论,青海日报江源评论,596,697,1,媒体平台,社会民生,
祥符网,祥符网,489,512,1,媒体平台,其他,
同心福建,同心福建,555,665,1,其他,地方政务,
重庆规划自然资源,重庆规划自然资源,485,504,1,其他,地方政务,资源整合
信息工程大学,信息工程大学,545,638,1,高校/学术机构,学术研究,
北疆理论风景线,北疆理论风景线,536,590,1,其他,党建理论,
杭州发布,杭州发布,676,729,1,政府机构,地方政务,
洛龙组工,洛龙组工,481,481,7,其他,其他,
东台党校,东台党校,589,641,7,其他,其他,
江苏机关党建,江苏机关党建,716,793,1,政府机构,党建理论,
甘肃社会科学,甘肃社会科学,706,881,1,高校/学术机构,地方政务,学术研究
战略前沿技术,战略前沿技术,829,902,1,其他,其他,
九原发布,九原发布,584,608,3,政府机构,其他,
文明濮阳,文明濮阳,477,499,1,其他,文旅国资,
发改金辉,发改金辉,647,717,1,其他,其他,
香蜜湖智库,香蜜湖智库,570,679,1,其他,学术研究,
陕西国资,陕西国资,590,614,1,其他,文旅国资,
京华丹心,京华丹心,528,575,1,其他,其他,
清廉山西,清廉山西,694,742,1,政府机构,党建理论,
四川师范大学学报社会科学版,四川师范大学学报社会科学版,691,1038,2,高校/学术机构,学术研究,学术研究
平顶山宣传,平顶山宣传,535,562,1,其他,党建理论,
经济日报,经济日报,893,960,1,媒体平台,社会民生,
网信锡林郭勒,网信锡林郭勒,603,643,1,媒体平台,其他,
平安商都,平安商都,472,514,1,其他,其他,
中国小康建设研究会,中国小康建设研究会,552,649,1,高校/学术机构,学术研究,学术研究
社科文献速递,社科文献速递,1662,6693,2,高校/学术机构,学术研究,学术研究
中国民主同盟,中国民主同盟,540,589,1,其他,其他,
柴河发布,柴河发布,501,534,1,政府机构,其他,
隆德县融媒体中心,隆德县融媒体中心,542,586,1,其他,其他,
山东省淄博市中心医院,山东省淄博市中心医院,608,658,1,其他,地方政务,
西师马院,西师马院,556,587,1,其他,其他,
东吴智库,东吴智库,512,567,1,其他,学术研究,
山东智库联盟,山东智库联盟,528,574,1,其他,学术研究,
鲁祖轩,鲁祖轩,517,540,1,其他,其他,
人民日报,人民日报,579,634,1,媒体平台,社会民生,
和美南开,和美南开,824,850,1,其他,其他,
云南政法,云南政法,545,625,1,政府机构,地方政务,
社会学吧,社会学吧,527,564,7,自媒体/个人,学术研究,
清风中原,清风中原,565,593,1,政府机构,党建理论,
中央社院,中央社院,647,685,1,政府机构,其他,
喀什零距离,喀什零距离,577,601,1,其他,其他,
无弦琴上有希声,无弦琴上有希声,614,707,1,其他,其他,
南村子文集,南村子文集,512,521,3,其他,其他,
上海讲师团,上海讲师团,504,583,1,其他,地方政务,
边疆社会科学,边疆社会科学,998,2168,2,高校/学术机构,其他,学术研究
政治学人,政治学人,848,1722,2,高校/学术机构,学术研究,
中国高校社会科学,中国高校社会科学,803,920,1,高校/学术机构,其他,学术研究
江西人社,江西人社,631,679,8,政府机构,社会民生,
理论强党,理论强党,456,456,4,其他,党建理论,
会计学术联盟,会计学术联盟,1156,4029,2,高校/学术机构,学术研究,学术研究
定西机关事务,定西机关事务,508,518,5,政府机构,地方政务,
HIT联小络,HIT联小络,454,496,1,其他,其他,
马理论研学社,马理论研学社,648,760,1,自媒体/个人,党建理论,
宾县发布,宾县发布,672,742,1,政府机构,其他,
风正巴渝,风正巴渝,504,519,1,其他,其他,
走近祁连,走近祁连,496,507,5,其他,其他,
探索与争鸣杂志,探索与争鸣杂志,898,1400,2,媒体平台,其他,
中国指挥与控制学会,中国指挥与控制学会,481,501,1,其他,其他,
古镇宜兴埠,古镇宜兴埠,449,449,4,其他,其他,
邯郸市城市管理综合行政执法局,邯郸市城市管理综合行政执法局,449,459,1,政府机构,地方政务,政务服务
清风伊川,清风伊川,448,448,7,政府机构,党建理论,
第四师团委,第四师团委,466,471,1,政府机构,其他,
青春红河,青春红河,594,643,1,其他,其他,
北大清华讲座,北大清华讲座,1209,2324,2,其他,其他,
马克思主义理论学科研究,马克思主义理论学科研究,536,687,1,高校/学术机构,学术研究,学术研究
京检在线,京检在线,594,635,1,其他,其他,
天津滨海文明,天津滨海文明,443,459,1,其他,文旅国资,
中国社会保障学会,中国社会保障学会,628,714,8,高校/学术机构,其他,
马理论研读社,马理论研读社,604,733,1,自媒体/个人,党建理论,
廉洁四川,廉洁四川,592,625,1,其他,地方政务,
红色文化网,红色文化网,626,701,1,媒体平台,党建理论,文化传播
前沿学术工作坊,前沿学术工作坊,852,1488,2,高校/学术机构,学术研究,学术研究
建湖党建,建湖党建,555,584,1,其他,党建理论,
中国残疾人联合会,中国残疾人联合会,504,596,1,其他,其他,
山东大成钢构,山东大成钢构,534,556,1,其他,地方政务,
马克思主义理论学术前沿,马克思主义理论学术前沿,785,1524,2,高校/学术机构,学术研究,学术研究
亮亮子明,亮亮子明,1147,3161,2,其他,其他,
济南政法,济南政法,548,583,1,政府机构,地方政务,
烟台国资,烟台国资,479,494,3,其他,文旅国资,
山东普法,山东普法,483,500,1,其他,地方政务,
河北普法,河北普法,601,691,1,其他,地方政务,
福建高校思政网,福建高校思政网,619,644,1,媒体平台,党建理论,
农民日报,农民日报,619,688,1,媒体平台,社会民生,
上海基层党建,上海基层党建,545,580,1,其他,党建理论,
越步兴安,越步兴安,484,499,3,其他,其他,
历史学研究,历史学研究,1159,5398,2,高校/学术机构,学术研究,学术研究
福关E家,福关E家,431,431,4,其他,其他,
我们的太空,我们的太空,496,509,1,其他,其他,
哈尔滨宣传,哈尔滨宣传,475,486,1,其他,党建理论,
刘余莉,刘余莉,451,531,1,其他,其他,
科技日报,科技日报,891,1049,1,媒体平台,社会民生,
理论头条,理论头条,468,498,1,其他,党建理论,
陕西人大,陕西人大,480,490,1,政府机构,地方政务,
海关爱创作,海关爱创作,427,428,4,其他,其他,
南洋书院党总支,南洋书院党总支,471,586,1,其他,传统文化,
中国法律评论,中国法律评论,729,1131,2,自媒体/个人,其他,
梵净山红,梵净山红,426,437,1,其他,其他,
看成电,看成电,464,566,1,其他,其他,
国际儒学联合会,国际儒学联合会,479,504,7,其他,传统文化,文化传播
文明贵州,文明贵州,424,429,3,其他,文旅国资,
北疆卫士号,北疆卫士号,625,690,1,其他,其他,
谯城组工,谯城组工,438,444,3,其他,其他,
思想田野,思想田野,489,593,1,其他,其他,
海研智库,海研智库,592,643,1,其他,学术研究,
政治哲学与思想史,政治哲学与思想史,469,475,7,其他,学术研究,学术研究
中国律师,中国律师,462,559,1,其他,其他,
长乐未央,长乐未央,526,564,1,其他,其他,
南昌公积金,南昌公积金,430,441,1,其他,社会民生,
湖南党史,湖南党史,457,481,1,其他,党建理论,
北京党派e点通,北京党派e点通,420,427,1,其他,地方政务,
青海统战,青海统战,614,665,1,其他,党建理论,
山西省生态环境厅,山西省生态环境厅,538,569,1,其他,地方政务,
内蒙古自治区政协,内蒙古自治区政协,423,428,1,政府机构,地方政务,
遇见咸阳,遇见咸阳,418,425,1,其他,地方政务,
北方网,北方网,622,672,1,媒体平台,其他,
国防部发布,国防部发布,663,703,1,政府机构,其他,
尼山世界文明论坛,尼山世界文明论坛,443,449,7,其他,学术研究,
上海社联,上海社联,630,797,1,自媒体/个人,地方政务,
北大法律信息网,北大法律信息网,1946,11687,2,媒体平台,其他,
赣南日报,赣南日报,414,418,1,媒体平台,社会民生,
北京大学马克思主义学院,北京大学马克思主义学院,566,819,1,高校/学术机构,学术研究,
浙江社科,浙江社科,460,482,1,高校/学术机构,学术研究,学术研究
廉洁油城,廉洁油城,541,578,1,其他,其他,
塔城零距离,塔城零距离,516,523,1,其他,其他,
开放时代杂志,开放时代杂志,612,927,2,媒体平台,其他,
微泉山,微泉山,435,451,1,其他,其他,
